أهلا	Hello
Hello	أهلا
مرحبا	Welcome
Welcome	مرحبا
كيفك	How are you
How are you	كيفك
كيف حالك	How are you
How are you	كيف حالك
صباح الخير	Good morning
Good morning	صباح الخير
مساء الخير	Good evening
Good evening	مساء الخير
صباح النور	Good morning
Good morning	صباح النور
مساء النور	Good evening
Good evening	مساء النور
شكرا	Thanks
Thanks	شكرا
شكرا لك	Thank you
Thank you	شكرا لك
شكرا جزيلا	Thank you very much
Thank you very much	شكرا جزيلا
العفو	pardon
pardon	العفو
لا شكر على واجب	No thanks necessary
No thanks necessary	لا شكر على واجب
من فضلك	please
please	من فضلك
لو سمحت	please
please	لو سمحت
مع السلامة	Good-bye
Good-bye	مع السلامة
إلى اللقاء	See you soon
See you soon	إلى اللقاء
أراك لاحقا	I'll see you later
I'll see you later	أراك لاحقا
تصبح على خير	Good night
Good night	تصبح على خير
حسنا	Good
Good	حسنا
تمام	Okay
Okay	تمام
ممتاز	excellent
excellent	ممتاز
رائع	amazing
amazing	رائع
جميل	Beautiful
Beautiful	جميل
جيد	good
good	جيد
سيئ	bad
bad	سيئ
صحيح	correct
correct	صحيح
خطأ	mistake
mistake	خطأ
نعم	Yes
Yes	نعم
لا	no
no	لا
ربما	maybe
maybe	ربما
بالتأكيد	certainly
certainly	بالتأكيد
بالطبع	naturally
naturally	بالطبع
مستحيل	impossible
impossible	مستحيل
ممكن	maybe
maybe	ممكن
مفهوم	concept
concept	مفهوم
واضح	clear
clear	واضح
غير واضح	Not clear
Not clear	غير واضح
فهمت	Understood
Understood	فهمت
لم أفهم	I didn't understand
I didn't understand	لم أفهم
أعرف	I know
I know	أعرف
لا أعرف	I don't know
I don't know	لا أعرف
ماذا	What
What	ماذا
لماذا	Why
Why	لماذا
متى	when
when	متى
أين	where
where	أين
كيف	how
how	كيف
من	from
from	من
أي	any
any	أي
كم	how much
how much	كم
ماذا تريد	What do you want
What do you want	ماذا تريد
ماذا تفعل	What do you do
What do you do	ماذا تفعل
ماذا حدث	What happened
What happened	ماذا حدث
أين أنت	Where are you
Where are you	أين أنت
أين هو	Where is he?
Where is he?	أين هو
أين هي	Where is she?
Where is she?	أين هي
من أنت	Who are you
Who are you	من أنت
من هذا	Who is this
Who is this	من هذا
من هناك	From there
From there	من هناك
هل أنت بخير	Are you well
